# format: as|source|type
# date: 20210401
# name: as2type
# exe: type-convert-amogh.pl
# files: 20210401.merged.class.txt
# types: Content|Enterprise|Transit/Access
1|CAIDA_class|Enterprise
2|CAIDA_class|Transit/Access
3|CAIDA_class|Transit/Access
4|CAIDA_class|Transit/Access
5|CAIDA_class|Transit/Access
6|CAIDA_class|Content
7|CAIDA_class|Content
8|CAIDA_class|Transit/Access
9|CAIDA_class|Transit/Access
10|CAIDA_class|Transit/Access
12|CAIDA_class|Transit/Access
13|CAIDA_class|Transit/Access
14|CAIDA_class|Transit/Access
16|CAIDA_class|Transit/Access
17|CAIDA_class|Transit/Access
18|CAIDA_class|Transit/Access
19|CAIDA_class|Transit/Access
20|CAIDA_class|Transit/Access
21|CAIDA_class|Enterprise
22|CAIDA_class|Transit/Access
24|CAIDA_class|Transit/Access
25|CAIDA_class|Transit/Access
26|CAIDA_class|Transit/Access
27|CAIDA_class|Transit/Access
29|CAIDA_class|Content
30|CAIDA_class|Transit/Access
31|CAIDA_class|Transit/Access
32|CAIDA_class|Transit/Access
33|CAIDA_class|Transit/Access
34|CAIDA_class|Transit/Access
35|CAIDA_class|Transit/Access
37|CAIDA_class|Transit/Access
38|CAIDA_class|Transit/Access
42|CAIDA_class|Transit/Access
43|CAIDA_class|Enterprise
44|CAIDA_class|Transit/Access
45|CAIDA_class|Transit/Access
46|CAIDA_class|Transit/Access
47|CAIDA_class|Transit/Access
48|CAIDA_class|Transit/Access
49|CAIDA_class|Content
50|CAIDA_class|Enterprise
51|CAIDA_class|Transit/Access
52|CAIDA_class|Transit/Access
55|CAIDA_class|Transit/Access
56|CAIDA_class|Enterprise
57|CAIDA_class|Transit/Access
59|CAIDA_class|Transit/Access
62|peerDB_class|Transit/Access
63|CAIDA_class|Transit/Access
65|CAIDA_class|Transit/Access
68|CAIDA_class|Enterprise
70|CAIDA_class|Content
71|CAIDA_class|Transit/Access
72|peerDB_class|Enterprise
73|CAIDA_class|Transit/Access
74|CAIDA_class|Transit/Access
77|CAIDA_class|Transit/Access
81|CAIDA_class|Transit/Access
83|CAIDA_class|Transit/Access
84|CAIDA_class|Transit/Access
85|CAIDA_class|Enterprise
87|manual_class|Enterprise
88|manual_class|Enterprise
89|CAIDA_class|Transit/Access
90|CAIDA_class|Transit/Access
91|CAIDA_class|Transit/Access
92|CAIDA_class|Transit/Access
93|CAIDA_class|Transit/Access
97|CAIDA_class|Transit/Access
98|CAIDA_class|Transit/Access
100|CAIDA_class|Transit/Access
101|CAIDA_class|Transit/Access
102|CAIDA_class|Enterprise
103|CAIDA_class|Transit/Access
104|CAIDA_class|Transit/Access
106|CAIDA_class|Transit/Access
109|peerDB_class|Enterprise
111|CAIDA_class|Transit/Access
112|CAIDA_class|Content
116|CAIDA_class|Transit/Access
118|CAIDA_class|Enterprise
121|CAIDA_class|Transit/Access
122|peerDB_class|Enterprise
125|CAIDA_class|Content
127|CAIDA_class|Enterprise
131|CAIDA_class|Transit/Access
132|CAIDA_class|Transit/Access
