date,number_AS,number_p2p_links,number_p2c_links
20181101,62995,492469,123549
20181201,63365,461675,124793
20190101,63467,463959,124682
20190201,63864,471684,125977
20190301,64167,447820,126621
20190401,64553,471771,128731
20190501,64758,478446,129399
20190601,65082,483965,129824
20190701,65440,375736,129836
20190801,65724,361719,130120
20190901,66091,376867,131024
20191201,67026,374607,132428
20200101,67308,388762,132565
20200401,68291,397996,135238
20200501,68573,387530,135328
20200601,68915,394601,136402
20200701,69204,372485,137544
20200801,69567,375232,138168
20200901,70002,381154,139135
20201001,70289,372841,143419
20201101,70582,394196,140233
20201201,70803,418694,146291
20210101,70917,384156,144651
20210201,71261,387479,146587
20210301,71434,425270,147943
20210401,71669,395730,146661
