#from,to,weight
-15,23944,2000.0
-21,23944,2000.0
-24,23944,1000.0
-31,23944,100000.0
-84,23944,10000.0
-91,23944,10000.0
-98,23944,20000.0
-234,23944,10000.0
-475,23944,10000.0
-583,23944,10000.0
23944,-15,500.0
23944,-21,500.0
23944,-24,250.0
23944,-31,25000.0
23944,-84,2500.0
23944,-91,2500.0
23944,-98,5000.0
23944,-234,2500.0
23944,-475,2500.0
23944,-583,2500.0
-34,61194,10000.0
-222,61194,10000.0
61194,-34,10000.0
61194,-222,10000.0
-31,138456,10000.0
-83,138456,20000.0
-98,138456,1000.0
138456,-31,10000.0
138456,-83,20000.0
138456,-98,1000.0
