#from,to,weight
-1,20940,20000.00000000002
-2,20940,10000.00000000001
-3,20940,5000.000000000005
-6,20940,5000.000000000005
-10,20940,5000.000000000005
-11,20940,10000.00000000001
-12,20940,5000.000000000005
-14,20940,5000.000000000005
-15,20940,40000.00000000004
-16,20940,5000.000000000005
-17,20940,10000.00000000001
-18,20940,1000.0000000000009
-19,20940,5000.000000000005
-21,20940,30000.000000000025
-23,20940,30000.00000000003
-24,20940,60000.00000000006
-28,20940,10000.00000000001
-31,20940,55000.00000000005
-32,20940,500.00000000000045
-34,20940,2000.0000000000018
-35,20940,30000.000000000025
-36,20940,500.00000000000045
-37,20940,20000.00000000002
-40,20940,2000.0000000000018
-41,20940,5000.000000000005
-42,20940,1500.0000000000014
-43,20940,5000.000000000005
-44,20940,30000.000000000025
-46,20940,500.00000000000045
-47,20940,15000.000000000013
-48,20940,15000.000000000013
-49,20940,5000.000000000005
-50,20940,5000.000000000005
-54,20940,2000.0000000000018
-57,20940,2000.0000000000018
-60,20940,15000.000000000013
-61,20940,1000.0000000000009
-63,20940,20000.00000000002
-66,20940,10000.00000000001
-67,20940,25000.000000000022
-69,20940,1000.0000000000009
-71,20940,30000.000000000025
-73,20940,4000.0000000000036
-79,20940,5000.000000000005
-80,20940,5000.000000000005
-83,20940,20000.00000000002
-84,20940,20000.00000000002
-87,20940,5000.000000000005
-91,20940,1000.0000000000009
-92,20940,10000.00000000001
-98,20940,20000.00000000002
-100,20940,17000.000000000015
-102,20940,70000.00000000006
-103,20940,5000.000000000005
-104,20940,10000.00000000001
-105,20940,5000.000000000005
-108,20940,15000.000000000013
-109,20940,8000.000000000007
-111,20940,2000.0000000000018
-116,20940,5000.000000000005
-126,20940,5000.000000000005
-128,20940,2500.0000000000023
-145,20940,500.00000000000045
-146,20940,5000.000000000005
-150,20940,5000.000000000005
-151,20940,1500.0000000000014
-159,20940,50.00000000000004
-161,20940,15000.000000000013
-162,20940,500.00000000000045
-164,20940,5000.000000000005
-172,20940,10000.00000000001
-175,20940,5000.000000000005
-177,20940,1000.0000000000009
-191,20940,2000.0000000000018
-193,20940,2000.0000000000018
-200,20940,500.00000000000045
-205,20940,1000.0000000000009
-207,20940,5000.000000000005
-208,20940,500.00000000000045
-211,20940,500.00000000000045
-215,20940,2000.0000000000018
-222,20940,500.00000000000045
-231,20940,500.00000000000045
-234,20940,15000.000000000015
-236,20940,500.00000000000045
-237,20940,5000.000000000005
-243,20940,5000.000000000005
-246,20940,8000.000000000007
-250,20940,10000.00000000001
-256,20940,5000.000000000005
-268,20940,500.00000000000045
-269,20940,5000.000000000005
-270,20940,2000.0000000000018
-272,20940,500.00000000000045
-274,20940,1000.0000000000009
-275,20940,500.00000000000045
-278,20940,5000.000000000005
-279,20940,1000.0000000000009
-280,20940,15000.000000000013
-282,20940,5000.000000000005
-292,20940,500.00000000000045
-306,20940,10000.00000000001
-307,20940,1000.0000000000009
-308,20940,500.00000000000045
-309,20940,1500.0000000000014
-310,20940,500.00000000000045
-316,20940,24000.000000000022
-318,20940,6000.0000000000055
-319,20940,5000.000000000005
-321,20940,1000.0000000000009
-323,20940,2500.0000000000023
-326,20940,500.00000000000045
-328,20940,1000.0000000000009
-329,20940,2000.0000000000018
-330,20940,500.00000000000045
-331,20940,10000.00000000001
-334,20940,5000.000000000005
-336,20940,2000.0000000000018
-341,20940,500.00000000000045
-344,20940,10000.00000000001
-345,20940,1000.0000000000009
-346,20940,1000.0000000000009
-352,20940,500.00000000000045
-357,20940,5000.000000000005
-360,20940,500.00000000000045
-366,20940,500.00000000000045
-367,20940,50.00000000000004
-368,20940,500.00000000000045
-371,20940,10000.00000000001
-372,20940,5000.000000000005
-374,20940,500.00000000000045
-379,20940,6000.0000000000055
-381,20940,5000.000000000005
-383,20940,2000.0000000000018
-384,20940,500.00000000000045
-385,20940,15000.000000000015
-392,20940,500.00000000000045
-394,20940,1500.0000000000014
-395,20940,5000.000000000005
-413,20940,2000.0000000000018
-425,20940,5000.000000000005
-435,20940,500.00000000000045
-436,20940,500.00000000000045
-437,20940,500.00000000000045
-444,20940,5000.000000000005
-448,20940,500.00000000000045
-450,20940,500.00000000000045
-451,20940,1000.0000000000009
-453,20940,5000.000000000005
-464,20940,10000.00000000001
-491,20940,20000.00000000002
-583,20940,1000.0000000000009
-498,20940,500.00000000000045
-499,20940,4000.0000000000036
-500,20940,17000.000000000015
-513,20940,3000.0000000000027
-514,20940,500.00000000000045
-551,20940,5000.000000000005
-557,20940,500.00000000000045
-562,20940,5000.000000000005
-565,20940,1000.0000000000009
-575,20940,500.00000000000045
-609,20940,500.00000000000045
-623,20940,500.00000000000045
-646,20940,500.00000000000045
-634,20940,5000.000000000005
-664,20940,5000.000000000005
-746,20940,15000.000000000013
-753,20940,5000.000000000005
-1,31800,1000.0
